stim,maze_name,pause_location,pause_time,n,empirical_stat,ci_lower,mean,ci_upper
10_(10;2)_320,10_by_10_maze_2,(10;2),320,18,1.030999165697261,0.7591649429211301,1.0275049028864833,1.279636372814716
10_(10;8)_320,10_by_10_maze_2,(10;8),320,18,0.7441456845176444,0.3757509595815435,0.7349891268285211,1.0392720183799913
10_(6;1)_320,10_by_10_maze_2,(6;1),320,18,0.01756423004391148,-0.36293075755884807,0.025308979074765436,0.4387815905893349
10_(7;1)_200,10_by_10_maze_2,(7;1),200,18,-0.645450088781722,-0.9503654555214552,-0.6457327936947245,-0.3183582400951825
10_(7;1)_320,10_by_10_maze_2,(7;1),320,18,-0.49240081644601436,-0.8087062764787932,-0.49506459845291306,-0.08361053662078996
10_(7;1)_500,10_by_10_maze_2,(7;1),500,18,0.19156815995226067,-0.21437559359339348,0.1861630335111498,0.581970471572499
15_(1;3)_160,15_by_15_maze_6,(1;3),160,18,-0.956455990426925,-1.1424484882360675,-0.9549149483009867,-0.7783315657104862
15_(1;3)_320,15_by_15_maze_6,(1;3),320,18,-0.6703962506911171,-0.9192965830859156,-0.656684039992627,-0.3539818529126728
15_(10;11)_320,15_by_15_maze_6,(10;11),320,18,-0.314570754582893,-0.7122885057510502,-0.3186028695857679,0.13414825238634864
15_(12;1)_160,15_by_15_maze_6,(12;1),160,18,-0.2725798081266429,-0.6242753203988752,-0.2813222960016752,0.09625018085485265
15_(12;1)_320,15_by_15_maze_6,(12;1),320,18,-0.4194599504398791,-0.744623015874928,-0.4307292362244754,-0.04736996953439046
15_(3;5)_320,15_by_15_maze_6,(3;5),320,18,0.7226639626616813,0.23398034760769224,0.7292244667011958,1.1873585906617499
15_(5;14)_320,15_by_15_maze_6,(5;14),320,18,-0.19063138973966848,-0.5414616128746658,-0.19223287914228868,0.10666665372716988
15_(5;15)_320,15_by_15_maze_6,(5;15),320,18,-0.13126704613801685,-0.533993045710834,-0.12227076422541269,0.33224140430811927
15_(6;7)_320,15_by_15_maze_6,(6;7),320,18,-0.4653738144946605,-0.7726805388066433,-0.4660236899839115,-0.07131995033419644
15_(7;15)_320,15_by_15_maze_6,(7;15),320,18,0.6446787334284673,0.12801744044628185,0.6467479394212725,1.0899305833413975
15_(7;5)_320,15_by_15_maze_6,(7;5),320,18,0.44635403056864265,0.021891084493435006,0.4500462814830477,0.8369429947771962
15_(7;7)_320,15_by_15_maze_6,(7;7),320,18,-0.36498793329275053,-0.737810254914873,-0.3704427795565671,0.07977756709228853
7_(4;1)_200,7_by_7_maze_4,(4;1),200,18,-0.10432957044854575,-0.5356048736361955,-0.1038918544900812,0.33399908989813476
7_(5;1)_200,7_by_7_maze_4,(5;1),200,18,-0.4852721277342606,-0.8310769328954478,-0.4786760868194305,-0.086736805843217
7_(5;1)_320,7_by_7_maze_4,(5;1),320,18,-0.4044344942862297,-0.7451673442529492,-0.39961313097079093,-0.03502255953322689
7_(6;3)_200,7_by_7_maze_4,(6;3),200,18,1.0327940135571307,0.6386771647915024,1.0343976742178267,1.3636924451534618
7_(7;1)_200,7_by_7_maze_4,(7;1),200,18,1.0868420552023264,0.7398623835567664,1.0848185119416993,1.3750126539221348
